normInfX : 1.352259102332583
normInfY : 1.8175380415655664

 0.9084825751359866 0.3566792795969468 0.08709724759964965
 0.5389094958106317 0.31032813820210303 0.40033120725558347
Nmax : 37maj : 0.7610922515928078diff : 0.3848221978093235submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 38maj : 0.7514677902039681diff : 0.3751977364204838submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 39maj : 0.7418433288151285diff : 0.36557327503164416submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 40maj : 0.7411869294134954diff : 0.3649168756300111submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 41maj : 0.7315624680246557diff : 0.3552924142411714submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 42maj : 0.7219380066358161diff : 0.34566795285233176submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 43maj : 0.7123135452469764diff : 0.3360434914634921submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 44maj : 0.7020326844565037diff : 0.32576263067301936submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 45maj : 0.692408223067664diff : 0.3161381692841797submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 46maj : 0.6827837616788244diff : 0.30651370789534005submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 47maj : 0.662878439499512diff : 0.28660838571602765submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 48maj : 0.6532539781106723diff : 0.276983924327188submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 49maj : 0.6298186354708436diff : 0.2535485816873593submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 50maj : 0.6250064047764237diff : 0.24873635099293934submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 51maj : 0.6237241945425203diff : 0.24745414075903593submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 52maj : 0.6201941740820038diff : 0.2439241202985195submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 53maj : 0.6183427971464502diff : 0.24207274336296591submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 54maj : 0.615381943387584diff : 0.23911188960409968submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
