Nmax : 41maj : 0.5644983226234127diff : 9.9333441045113E-4 min : 0.5635049882129616submax : {0=[[0.87890625, 0.880859375], [0.119140625, 0.12109375]]}
Nmax : 42maj : 0.5644815507129616diff : 9.765625E-4 min : 0.5635049882129616submax : {0=[[0.87890625, 0.880859375], [0.119140625, 0.12109375]]}
Nmax : 43maj : 0.5644809306094558diff : 9.743955503052071E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 44maj : 0.5644641233195542diff : 9.575882604035968E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 45maj : 0.5644620053110584diff : 9.554702519077862E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 46maj : 0.5644288977047833diff : 9.223626456327239E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 47maj : 0.5644245082738427diff : 9.179732146921138E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 48maj : 0.564376115118595diff : 8.695800594443748E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 49maj : 0.5643681636554385diff : 8.616285962879111E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 50maj : 0.564306009157532diff : 7.994740983814363E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 51maj : 0.5642926858310388diff : 7.8615077188815E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 52maj : 0.5642263450191956diff : 7.198099600449481E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 53maj : 0.5642188061141904diff : 7.122710550397926E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 54maj : 0.5641977788751232diff : 6.912438159726308E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 55maj : 0.5641147253056413diff : 6.081902464907252E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 56maj : 0.564083136005807diff : 5.766009466563471E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 57maj : 0.5640615290744794diff : 5.549940153287691E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 58maj : 0.5639948163091506diff : 4.8828125E-4 min : 0.5635065350591506submax : {0=[[0.8798828125, 0.880859375], [0.119140625, 0.1201171875]]}
Nmax : 59maj : 0.5639945102832054diff : 4.876260148556355E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 60maj : 0.5639939793823773diff : 4.870951140275581E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 61maj : 0.5639905946893236diff : 4.8371042097383743E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 62maj : 0.5639896444041999diff : 4.8276013585013544E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 63maj : 0.563981877098367diff : 4.7499283001728454E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 64maj : 0.5639801859189774diff : 4.733016506276444E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 65maj : 0.563968694691078diff : 4.6181042272830375E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 66maj : 0.5639661015148456diff : 4.59217246495891E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 67maj : 0.5639510781147978diff : 4.4419384644811544E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 68maj : 0.5639484389883852diff : 4.4155472003548635E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 69maj : 0.5639473573054483diff : 4.4047303709859875E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 70maj : 0.563929057521411diff : 4.221732530612643E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 71maj : 0.5639239188161568diff : 4.170345478070603E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 72maj : 0.5639026625789676diff : 3.9577831061787805E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 73maj : 0.5638957509689573diff : 3.888667006075597E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 74maj : 0.5638719224829432diff : 3.650382145934383E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 75maj : 0.5638628180668176diff : 3.5593379846787787E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 76maj : 0.5638567746192047diff : 3.4989035085497555E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 77maj : 0.5638368659671507diff : 3.2998169880094075E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 78maj : 0.5638250837775052diff : 3.18199509155459E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 79maj : 0.5637975213143187diff : 2.9063704596898887E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 80maj : 0.5637933574942591diff : 2.864732259093561E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 81maj : 0.563793169049462diff : 2.8628478111225597E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 82maj : 0.563782511116836diff : 2.756268484862545E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 83maj : 0.5637686741403678diff : 2.617898720180811E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 84maj : 0.5637580229397967diff : 2.511386714469932E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 85maj : 0.5637539163663462diff : 2.470320979964802E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 86maj : 0.5637510248933497diff : 2.44140625E-4 min : 0.5635068842683497submax : {0=[[0.88037109375, 0.880859375], [0.119140625, 0.11962890625]]}
Nmax : 87maj : 0.5637508723835933diff : 2.4391978255711155E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 88maj : 0.5637500434996914diff : 2.4309089865515165E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 89maj : 0.5637495819446663diff : 2.4262934363006305E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 90maj : 0.5637479321948833diff : 2.4097959384705714E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 91maj : 0.5637471495169083diff : 2.401969158720707E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 92maj : 0.5637446949381062diff : 2.3774233706996828E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
